period,year,month,quarter,value,quantity,ytdValue,ytdQuantity
2021-01,2021,1,1,193707098.0,319793.0,193707098.0,319793.0
2021-02,2021,2,1,173731417.0,380880.0,367438515.0,700673.0
2021-03,2021,3,1,215940477.0,449367.0,583378992.0,1150040.0
2021-04,2021,4,2,113627646.0,303776.0,697006638.0,1453816.0
2021-05,2021,5,2,138520445.0,379301.0,835527083.0,1833117.0
2021-06,2021,6,2,196810739.0,436781.0,1032337822.0,2269898.0
2021-07,2021,7,3,179102874.0,401952.0,1211440696.0,2671850.0
2021-08,2021,8,3,155991834.0,287083.0,1367432530.0,2958933.0
2021-09,2021,9,3,252945535.0,373030.0,1620378065.0,3331963.0
2021-10,2021,10,4,300766012.0,427236.0,1921144077.0,3759199.0
2021-11,2021,11,4,279737698.0,350220.0,2200881775.0,4109419.0
2021-12,2021,12,4,251191066.0,338118.0,2452072841.0,4447537.0
2022-01,2022,1,1,168273515.0,247183.0,168273515.0,247183.0
2022-02,2022,2,1,244889603.0,330429.0,413163118.0,577612.0
2022-03,2022,3,1,206372813.0,316023.0,619535931.0,893635.0
2022-04,2022,4,2,197682176.0,304060.0,817218107.0,1197695.0
2022-05,2022,5,2,211032670.0,365920.0,1028250777.0,1563615.0
2022-06,2022,6,2,285307872.0,391319.0,1313558649.0,1954934.0
2022-07,2022,7,3,280671429.0,452185.0,1594230078.0,2407119.0
2022-08,2022,8,3,306254977.0,402172.0,1900485055.0,2809291.0
2022-09,2022,9,3,258299742.0,365765.0,2158784797.0,3175056.0
2022-10,2022,10,4,303732600.0,365290.0,2462517397.0,3540346.0
2022-11,2022,11,4,340496528.0,432213.0,2803013925.0,3972559.0
2022-12,2022,12,4,239196950.0,295537.0,3042210875.0,4268096.0
2023-01,2023,1,1,236674467.0,311983.0,236674467.0,311983.0
2023-02,2023,2,1,303060595.0,365893.0,539735062.0,677876.0
2023-03,2023,3,1,306586921.0,399005.0,846321983.0,1076881.0
2023-04,2023,4,2,275243252.0,389817.0,1121565235.0,1466698.0
2023-05,2023,5,2,330226394.0,423311.0,1451791629.0,1890009.0
2023-06,2023,6,2,295167362.0,387608.0,1746958991.0,2277617.0
2023-07,2023,7,3,338638181.0,406846.0,2085597172.0,2684463.0
2023-08,2023,8,3,346384420.0,462784.0,2431981592.0,3147247.0
2023-09,2023,9,3,279064257.0,426530.0,2711045849.0,3573777.0
2023-10,2023,10,4,352223143.0,432749.0,3063268992.0,4006526.0
2023-11,2023,11,4,341817358.0,453517.0,3405086350.0,4460043.0
2023-12,2023,12,4,275444483.0,392581.0,3680530833.0,4852624.0
2024-01,2024,1,1,273779984.0,366743.0,273779984.0,366743.0
2024-02,2024,2,1,292329019.0,279024.0,566109003.0,645767.0
2024-03,2024,3,1,367005206.0,426600.0,933114209.0,1072367.0
2024-04,2024,4,2,315593528.0,383827.0,1248707737.0,1456194.0
2024-05,2024,5,2,362264748.0,487395.0,1610972485.0,1943589.0
2024-06,2024,6,2,319535524.0,424239.0,1930508009.0,2367828.0
2024-07,2024,7,3,278478859.0,274700.0,2208986868.0,2642528.0
2024-08,2024,8,3,310684932.0,357344.0,2519671800.0,2999872.0
2024-09,2024,9,3,358405404.0,498851.0,2878077204.0,3498723.0
2024-10,2024,10,4,326827263.0,363256.0,3204904467.0,3861979.0
2024-11,2024,11,4,381871557.0,466393.0,3586776024.0,4328372.0
2024-12,2024,12,4,276742581.0,333026.0,3863518605.0,4661398.0
2025-01,2025,1,1,234133835.0,231713.0,234133835.0,231713.0
2025-02,2025,2,1,280042585.0,313496.0,514176420.0,545209.0
2025-03,2025,3,1,306136935.0,323515.0,820313355.0,868724.0
2025-04,2025,4,2,237761867.0,288381.0,1058075222.0,1157105.0
2025-05,2025,5,2,271564875.0,267272.0,1329640097.0,1424377.0
2025-06,2025,6,2,310349564.0,355788.0,1639989661.0,1780165.0
2025-07,2025,7,3,262552758.0,297451.0,1902542419.0,2077616.0
2025-08,2025,8,3,250756036.0,326188.0,2153298455.0,2403804.0
2025-09,2025,9,3,262255250.0,295141.0,2415553705.0,2698945.0
2025-10,2025,10,4,263178587.0,338187.0,2678732292.0,3037132.0
2025-11,2025,11,4,300635586.0,541820.0,2979367878.0,3578952.0
2025-12,2025,12,4,318145701.0,1034128.0,3297513579.0,4613080.0
2026-01,2026,1,1,243127799.0,1070273.0,243127799.0,1070273.0
2026-02,2026,2,1,244117125.0,950949.0,487244924.0,2021222.0
2026-03,2026,3,1,312667833.0,1239316.0,799912757.0,3260538.0
2026-04,2026,4,2,264962054.0,1295800.0,1064874811.0,4556338.0
